Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
desert-night-oud,Desert Night Oud,"<p>Inspired by the mystique of the Arabian desert after dark. Deep smoky oud meets burning incense and warm dry woods — hauntingly beautiful and unmistakably bold.</p><ul><li>Top notes: Incense, Black Pepper</li><li>Heart notes: Smoky Oud, Frankincense, Myrrh</li><li>Base notes: Dark Amber, Cedarwood, Labdanum</li></ul>",EternaScents,Eau de Parfum,"smoky, incense, oud, dark, intense, arabic, men",TRUE,Size,50ml,,,ES-DNO-50,150,shopify,50,deny,manual,75.00,95.00,TRUE,TRUE,,,Desert Night Oud 50ml,active
desert-night-oud,,,,,,,,100ml,,,ES-DNO-100,250,shopify,50,deny,manual,130.00,155.00,TRUE,TRUE,,,,active
jasmine-oud-nights,Jasmine Oud Nights,"<p>An intoxicating nocturnal blend of Egyptian jasmine and warm oud, softened by creamy sandalwood and delicate musk. Sensual, feminine, and deeply romantic.</p><ul><li>Top notes: Mandarin, Green Leaves</li><li>Heart notes: Egyptian Jasmine, Rose, Oud</li><li>Base notes: Sandalwood, Vanilla, White Musk</li></ul>",EternaScents,Eau de Parfum,"jasmine, floral, oud, feminine, romantic, night, sensual",TRUE,Size,50ml,,,ES-JON-50,150,shopify,50,deny,manual,68.00,85.00,TRUE,TRUE,,,Jasmine Oud Nights 50ml,active
jasmine-oud-nights,,,,,,,,100ml,,,ES-JON-100,250,shopify,50,deny,manual,115.00,138.00,TRUE,TRUE,,,,active
royal-musk-collection,Royal Musk,"<p>A luxuriously soft and skin-close musk, layered with velvety woods and a whisper of warm amber. Clean, addictive, and endlessly wearable.</p><ul><li>Top notes: Aldehydes, Peach</li><li>Heart notes: White Musk, Rose, Violet</li><li>Base notes: Amber, Cashmere Wood, Benzoin</li></ul>",EternaScents,Eau de Parfum,"musk, clean, soft, unisex, everyday, wearable",TRUE,Size,50ml,,,ES-RM-50,150,shopify,50,deny,manual,58.00,72.00,TRUE,TRUE,,,Royal Musk 50ml,active
royal-musk-collection,,,,,,,,100ml,,,ES-RM-100,250,shopify,50,deny,manual,98.00,120.00,TRUE,TRUE,,,,active
oud-rose-eternal,Oud Rose Eternal,"<p>A grand floral-oriental combining the depth of aged oud with an abundance of Turkish rose petals. Rich, complex, and truly eternal — a perfume to be treasured.</p><ul><li>Top notes: Bergamot, Cardamom, Raspberry</li><li>Heart notes: Turkish Rose, Aged Oud, Geranium</li><li>Base notes: Amber, Patchouli, Labdanum, Musk</li></ul>",EternaScents,Eau de Parfum,"rose, oud, floral, oriental, turkish, luxury, signature",TRUE,Size,50ml,,,ES-ORE-50,150,shopify,50,deny,manual,85.00,105.00,TRUE,TRUE,,,Oud Rose Eternal 50ml,active
oud-rose-eternal,,,,,,,,100ml,,,ES-ORE-100,250,shopify,50,deny,manual,148.00,175.00,TRUE,TRUE,,,,active
bakhoor-oud-pure,Bakhoor Oud Pure,"<p>Inspired by the ancient Arabian tradition of bakhoor — incense rituals that fill the home with warmth and spirituality. Pure oud smoke meets rich resins and sacred woods.</p><ul><li>Top notes: Smoky Incense, Saffron</li><li>Heart notes: Pure Oud, Bakhoor Accord, Rose</li><li>Base notes: Frankincense, Resins, Dark Amber</li></ul>",EternaScents,Eau de Parfum,"bakhoor, oud, incense, arabic, traditional, smoke, pure",TRUE,Size,50ml,,,ES-BOP-50,150,shopify,50,deny,manual,90.00,115.00,TRUE,TRUE,,,Bakhoor Oud Pure 50ml,active
bakhoor-oud-pure,,,,,,,,100ml,,,ES-BOP-100,250,shopify,50,deny,manual,158.00,190.00,TRUE,TRUE,,,,active
